russe,francais
автобус,autobus
Анна,Anna
Антон,Anton
банан,banane
брат,frère
буква,lettre
бумага,papier
вода,eau
вопрос,question
врач,médecin
глаз,œil
голова,tête
город,ville
да,oui
дом,maison
дорога,chemin
доска,tableau
друг,ami
журнал,magazine
звук,son
зонт,parapluie
и,et
Иван,Ivan
Ира,Ira
карандаш,crayon
карта,carte
комната,chambre
кот,chat
лампа,lampe
ложка,cuillère
мама,maman
марка,timbre
масло,huile/beurre
малина,framboise
молоко,lait
Москва,Moscou
нога,jambe
нож,couteau
окно,fenêtre
он,il
она,elle
ошибка,erreur
открытка,carte postale
папа,papa
парк,parc
паспорт,passeport
подруга,amie
полка,étagère
почта,poste
рубашка,chemise
рука,main
ручка,stylo
рыба,poisson
слово,mot
собака,chien
сок,jus
стакан,verre
стол,table
стул,chaise
сумка,sac
суп,soupe
сын,fils
сыр,fromage
торт,gâteau
урок,leçon
чашка,tasse
шапка,bonnet
шарф,écharpe
шкаф,armoire
школа,école
этаж,étage
это,ça
