russe,francais
почему,pourquoi
когда,quand
где,où
как,comment
кто,qui
что,quoi
сколько,combien
можно,possible
нельзя,interdit
да,oui
нет,non
спасибо,merci
пожалуйста,s'il te plaît / de rien
извините,excusez-moi
привет,salut
пока,au revoir
доброе утро,bonjour (le matin)
добрый день,bonjour (l'après-midi)
добрый вечер,bonsoir
спокойной ночи,bonne nuit
я,je
ты,tu
мы,nous
вы,vous
они,ils/elles
мой,mon
твой,ton
наш,notre
ваш,votre
новый,nouveau
старый,vieux
большой,grand
маленький,petit
хороший,bon
плохой,mauvais
быстро,rapidement
медленно,lentement
всегда,toujours
никогда,jamais
сегодня,aujourd'hui
завтра,demain
вчера,hier
час,heure
минута,minute
неделя,semaine
месяц,mois
год,an
время,temps
работа,travail
школа,école
магазин,magasin
